Country,Overallrank,Overall mean BMI (kg/m2),Female rank,Female mean BMI (kg/m2),Male rank,Male mean BMI (kg/m2)
Tonga,1,31.9,1,33.5,1,30.4
Samoa,2,31.7,1,33.5,2,29.9
Kuwait,3,30,5,30.8,3,29.5
Saint Kitts and Nevis,4,29.7,4,30.9,12,28.4
Saint Lucia,5,29.6,8,30.2,6,28.9
Kiribati,5,29.6,7,30.5,9,28.7
Palau,7,29.4,18,29.5,4,29.4
Federated States of Micronesia,7,29.4,3,31,22,27.8
Tuvalu,9,29.3,13,29.9,9,28.7
Qatar,10,29.2,10,30.1,5,29
Marshall Islands,10,29.2,11,30,12,28.4
Egypt,10,29.2,6,30.7,26,27.6
United Arab Emirates,13,29,14,29.7,11,28.6
Jordan,14,28.9,14,29.7,15,28.2
Belize,14,28.9,8,30.2,26,27.6
United States,16,28.8,26,28.8,7,28.8
The Bahamas,16,28.8,16,29.6,16,28
Trinidad and Tobago,18,28.7,20,29.4,20,27.9
Barbados,18,28.7,11,30,38,27.4
Saudi Arabia,20,28.5,28,28.7,14,28.3
Libya,21,28.4,16,29.6,46,27.2
Bahrain,22,28.2,31,28.6,16,28
Mexico,23,28.1,28,28.7,33,27.5
Antigua and Barbuda,23,28.1,18,29.5,44,27.3
Syria,23,28.1,23,29,46,27.2
Iraq,26,28,26,28.8,46,27.2
New Zealand,27,27.9,40,27.8,16,28
Lebanon,28,27.8,44,27.6,16,28
Uruguay,28,27.8,37,28,26,27.6
Turkey,28,27.8,32,28.5,50,27.1
Argentina,31,27.7,46,27.5,22,27.8
Ireland,32,27.5,56,27.1,20,27.9
Andorra,32,27.5,56,27.1,22,27.8
Kazakhstan,34,27.4,46,27.5,38,27.4
El Salvador,34,27.4,37,28,56,26.8
Azerbaijan,34,27.4,35,28.1,67,26.6
Suriname,34,27.4,34,28.2,69,26.5
Jamaica,34,27.4,21,29.2,105,25.5
United Kingdom,39,27.3,56,27.1,33,27.5
Greece,39,27.3,54,27.2,38,27.4
Saint Vincent and the Grenadines,39,27.3,35,28.1,69,26.5
South Africa,39,27.3,22,29.1,110,25.4
Australia,43,27.2,68,26.8,26,27.6
Canada,43,27.2,68,26.8,26,27.6
Malta,43,27.2,68,26.8,33,27.5
Venezuela,43,27.2,56,27.1,38,27.4
Georgia,43,27.2,51,27.3,46,27.2
Fiji,43,27.2,33,28.4,85,26.1
Panama,49,27.1,42,27.7,76,26.4
Cyprus,50,27,86,26.3,26,27.6
Ecuador,50,27,42,27.7,76,26.4
Grenada,50,27,28,28.7,113,25.2
Dominica,50,27,23,29,116,25.1
Czech Republic,54,26.9,93,26,22,27.8
Slovenia,54,26.9,86,26.3,33,27.5
Oman,54,26.9,56,27.1,56,26.8
Costa Rica,54,26.9,56,27.1,60,26.7
Nicaragua,54,26.9,40,27.8,88,26
Chile,59,26.8,66,26.9,60,26.7
Tunisia,59,26.8,46,27.5,88,26
Seychelles,59,26.8,37,28,100,25.6
Spain,62,26.7,93,26,38,27.4
Moldova,62,26.7,56,27.1,82,26.3
Dominican Republic,62,26.7,49,27.4,88,26
Armenia,62,26.7,49,27.4,92,25.9
Lithuania,66,26.6,93,26,44,27.3
Belarus,66,26.6,89,26.2,50,27.1
Swaziland,68,26.5,25,28.9,130,24.1
Luxembourg,68,26.5,112,25.5,26,27.6
Slovakia,68,26.5,102,25.7,38,27.4
Russia,68,26.5,68,26.8,85,26.1
Guatemala,68,26.5,56,27.1,96,25.8
Poland,73,26.4,102,25.7,52,27
Turkmenistan,73,26.4,81,26.4,76,26.4
Honduras,73,26.4,51,27.3,105,25.5
Guyana,76,26.3,44,27.6,117,25
Hungary,76,26.3,119,25.2,33,27.5
Germany,76,26.3,106,25.6,52,27
Israel,76,26.3,89,26.2,82,26.3
Peru,76,26.3,66,26.9,98,25.7
Iran,81,26.2,54,27.2,112,25.3
Portugal,81,26.2,102,25.7,60,26.7
Brunei,81,26.2,77,26.6,96,25.8
Cuba,81,26.2,74,26.7,100,25.6
Kyrgyzstan,81,26.2,68,26.8,100,25.6
Vanuatu,81,26.2,68,26.8,100,25.6
Algeria,81,26.2,65,27,105,25.5
Cook Islands,88,26.1,100,25.8,7,28.8
Albania,88,26.1,106,25.6,67,26.6
Bosnia and Herzegovina,88,26.1,102,25.7,69,26.5
Uzbekistan,88,26.1,86,26.3,92,25.9
Mongolia,92,26,81,26.4,105,25.5
Norway,92,26,119,25.2,55,26.9
Italy,92,26,119,25.2,56,26.8
Bulgaria,92,26,115,25.3,60,26.7
Montenegro,92,26,112,25.5,69,26.5
Ukraine,92,26,100,25.8,76,26.4
Bolivia,98,25.9,51,27.3,122,24.6
Colombia,98,25.9,79,26.5,110,25.4
Brazil,98,25.9,93,26,92,25.9
Iceland,98,25.9,123,25.1,60,26.7
Finland,98,25.9,115,25.3,69,26.5
Yemen,103,25.8,79,26.5,113,25.2
Paraguay,103,25.8,93,26,100,25.6
Latvia,103,25.8,123,25.1,56,26.8
Sweden,103,25.8,131,24.9,60,26.7
Serbia,103,25.8,119,25.2,76,26.4
North Macedonia,103,25.8,115,25.3,76,26.4
Mauritius,109,25.6,89,26.2,117,25
Equatorial Guinea,109,25.6,92,26.1,117,25
Morocco,109,25.6,98,25.9,113,25.2
Gabon,112,25.5,81,26.4,122,24.6
Solomon Islands,112,25.5,81,26.4,124,24.5
Belgium,112,25.5,134,24.7,84,26.2
Estonia,112,25.5,142,24.3,52,27
Croatia,112,25.5,135,24.6,69,26.5
Tajikistan,117,25.4,115,25.3,105,25.5
Netherlands,117,25.4,129,25,92,25.9
Austria,117,25.4,140,24.4,69,26.5
Papua New Guinea,120,25.3,106,25.6,117,25
Malaysia,120,25.3,106,25.6,117,25
Romania,120,25.3,131,24.9,98,25.7
Denmark,120,25.3,139,24.5,88,26
France,120,25.3,135,24.6,85,26.1
Switzerland,120,25.3,155,23.8,60,26.7
South Sudan,126,25.2,74,26.7,134,23.7
Sudan,126,25.2,74,26.7,134,23.7
Maldives,128,25.1,98,25.9,127,24.2
Lesotho,129,24.9,56,27.1,151,22.7
Mauritania,130,24.8,81,26.4,142,23.2
Sao Tome and Principe,130,24.8,106,25.6,131,23.9
Botswana,132,24.7,77,26.6,147,22.9
Cabo Verde,132,24.7,114,25.4,131,23.9
Cameroon,134,24.4,123,25.1,133,23.8
Namibia,135,24.3,106,25.6,147,22.9
Ghana,136,24.2,123,25.1,139,23.4
Comoros,137,24.1,123,25.1,145,23
Thailand,137,24.1,135,24.6,136,23.6
Angola,137,24.1,135,24.6,138,23.5
Haiti,137,24.1,148,24,127,24.2
The Gambia,141,24,123,25.1,145,23
Liberia,141,24,131,24.9,142,23.2
China,143,23.9,157,23.6,127,24.2
South Korea,143,23.9,160,23.4,125,24.3
Pakistan,145,23.8,140,24.4,141,23.3
Bhutan,145,23.8,144,24.2,139,23.4
Singapore,147,23.7,165,23.2,125,24.3
C̫te d'Ivoire,148,23.6,145,24.1,142,23.2
Zimbabwe,149,23.4,129,25,172,21.8
Benin,149,23.4,142,24.3,153,22.6
Nigeria,149,23.4,148,24,150,22.8
Republic of the Congo,152,23.3,145,24.1,155,22.5
Djibouti,152,23.3,153,23.9,151,22.7
Togo,154,23.2,148,24,157,22.4
Philippines,154,23.2,160,23.4,147,22.9
Guinea-Bissau,156,23.1,153,23.9,162,22.2
Tanzania,156,23.1,148,24,162,22.2
Senegal,158,23,145,24.1,172,21.8
Kenya,158,23,148,24,169,21.9
Sri Lanka,158,23,159,23.5,155,22.5
Indonesia,161,22.9,160,23.4,157,22.4
Sierra Leone,162,22.8,157,23.6,168,22
Malawi,162,22.8,163,23.3,161,22.3
Mali,162,22.8,168,23,153,22.6
Guinea,165,22.7,163,23.3,164,22.1
Zambia,166,22.6,155,23.8,178,21.5
Myanmar,166,22.6,165,23.2,164,22.1
Laos,166,22.6,171,22.7,157,22.4
Japan,166,22.6,183,21.7,136,23.6
Central African Republic,170,22.4,165,23.2,176,21.6
Mozambique,171,22.3,168,23,176,21.6
Chad,171,22.3,173,22.5,164,22.1
Democratic Republic of the Congo,173,22.2,173,22.5,172,21.8
Nepal,173,22.2,178,22,157,22.4
Burkina Faso,175,22.1,178,22,164,22.1
Uganda,176,22,168,23,185,21
Rwanda,176,22,171,22.7,182,21.3
Somalia,178,21.9,173,22.5,184,21.2
India,178,21.9,177,22.1,172,21.8
Cambodia,178,21.9,178,22,169,21.9
North Korea,181,21.8,181,21.8,169,21.9
Niger,182,21.7,176,22.2,182,21.3
Vietnam,183,21.6,184,21.6,178,21.5
Afghanistan,183,21.6,181,21.8,178,21.5
Timor-Leste,185,21.2,188,21,178,21.5
Madagascar,186,21.1,186,21.2,186,20.9
Bangladesh,187,21,186,21.2,187,20.7
Burundi,188,20.9,185,21.3,188,20.4
Ethiopia,189,20.6,188,21,189,20.2
Eritrea,190,20.5,188,21,190,20.1
Liechtenstein,-,-,-,-,-,-
Monaco,-,-,-,-,-,-
San Marino,-,-,-,-,-,-
Taiwan,-,-,-,-,-,-
Vatican City,-,-,-,-,-,-
